0,0.74792,1,68,77,0,12.548
0.75,0.12292,1,67,71,12.583,2.0622
0.875,0.12292,1,69,80,14.68,2.0622
1,0.74792,1,66,87,16.777,12.548
1.75,0.12292,1,65,78,29.36,2.0622
1.875,0.12292,1,67,82,31.457,2.0622
2,0.24792,1,64,75,33.554,4.1594
2.25,0.24792,1,63,70,37.749,4.1594
2.5,0.24792,1,62,78,41.943,4.1594
2.75,0.24792,1,59,78,46.137,4.1594
3,0.74792,1,68,98,50.332,12.548
3.75,0.12292,1,70,88,62.915,2.0622
3.875,0.12292,1,69,74,65.012,2.0622
4,1.9979,1,68,75,67.109,33.519
6,0.74792,1,68,91,100.66,12.548
6.75,0.12292,1,67,81,113.25,2.0622
6.875,0.12292,1,69,85,115.34,2.0622
7,0.74792,1,66,87,117.44,12.548
7.75,0.12292,1,65,76,130.02,2.0622
7.875,0.12292,1,67,85,132.12,2.0622
8,0.24792,1,64,69,134.22,4.1594
8.25,0.24792,1,63,73,138.41,4.1594
8.5,0.24792,1,62,72,142.61,4.1594
8.75,0.24792,1,59,71,146.8,4.1594
9,0.74792,1,56,74,150.99,12.548
9.75,0.12292,1,52,90,163.58,2.0622
9.875,0.12292,1,53,96,165.67,2.0622
10,0.66458,1,57,64,167.77,11.15
10.667,0.16458,1,52,44,178.96,2.7612
10.833,0.16458,1,53,52,181.75,2.7612
11,0.16458,1,58,64,184.55,2.7612
11.167,0.16458,1,52,70,187.35,2.7612
11.333,0.16458,1,53,78,190.14,2.7612
11.5,0.16458,1,59,88,192.94,2.7612
11.667,0.08125,1,63,80,195.73,1.3631
11.75,0.08125,1,62,89,197.13,1.3631
11.833,0.16458,1,59,87,198.53,2.7612
12,0.74792,1,56,43,201.33,12.548
12.75,0.12292,1,52,43,213.91,2.0622
12.875,0.12292,1,53,95,216.01,2.0622
13,0.99792,1,57,100,218.1,16.742
14.167,0.16458,1,54,83,237.68,2.7612
14.333,0.16458,1,57,98,240.47,2.7612
14.5,0.16458,1,59,98,243.27,2.7612
14.667,0.16458,1,62,103,246.07,2.7612
14.833,0.16458,1,66,109,248.86,2.7612
15.75,0.24792,1,66,84,264.24,4.1594
16,3.9979,1,69,96,268.44,67.074
20,0.99792,1,71,103,335.54,16.742
21,1.9979,1,73,53,352.32,33.519
23,0.99792,1,68,47,385.88,16.742
24,0.74792,1,56,52,402.65,12.548
24.75,0.12292,1,55,44,415.24,2.0622
24.875,0.12292,1,57,50,417.33,2.0622
25,0.74792,1,54,57,419.43,12.548
25.75,0.12292,1,53,40,432.01,2.0622
25.875,0.12292,1,55,49,434.11,2.0622
26,0.24792,1,52,48,436.21,4.1594
26.25,0.24792,1,51,46,440.4,4.1594
26.5,0.24792,1,50,53,444.6,4.1594
26.75,0.24792,1,47,48,448.79,4.1594
27,0.74792,1,56,65,452.98,12.548
27.75,0.12292,1,55,44,465.57,2.0622
27.875,0.12292,1,57,49,467.66,2.0622
28,0.74792,1,54,61,469.76,12.548
28.75,0.12292,1,53,49,482.34,2.0622
28.875,0.12292,1,55,49,484.44,2.0622
29,0.24792,1,52,44,486.54,4.1594
29.25,0.24792,1,54,74,490.73,4.1594
29.5,0.24792,1,56,100,494.93,4.1594
29.75,0.24792,1,59,99,499.12,4.1594
30,0.24792,1,61,80,503.32,4.1594
30.25,0.10417,1,64,80,507.51,1.7476
30.356,0.13958,1,63,94,509.29,2.3418
30.5,0.24792,1,61,91,511.71,4.1594
30.75,0.24792,1,59,94,515.9,4.1594
31,1.2479,1,56,92,520.09,20.937
32.25,0.24792,1,54,62,541.07,4.1594
32.5,0.24792,1,47,53,545.26,4.1594
32.75,0.24792,1,49,49,549.45,4.1594
33,0.12292,1,52,52,553.65,2.0622
33.125,0.12292,1,54,52,555.75,2.0622
33.25,0.12292,1,56,52,557.84,2.0622
33.375,0.12292,1,59,54,559.94,2.0622
33.5,0.060417,1,64,80,562.04,1.0136
33.563,0.060417,1,61,80,563.09,1.0136
33.625,0.12292,1,63,57,564.13,2.0622
33.75,0.12292,1,61,59,566.23,2.0622
33.875,0.12292,1,59,61,568.33,2.0622
34,1.4979,1,56,66,570.43,25.131
35.5,0.16458,1,59,93,595.59,2.7612
35.667,0.16458,1,61,106,598.39,2.7612
35.833,0.16458,1,64,106,601.18,2.7612
36,0.62292,1,67,108,603.98,10.451
36.625,0.12292,1,66,94,614.47,2.0622
36.75,0.12292,1,65,94,616.56,2.0622
36.875,0.12292,1,64,90,618.66,2.0622
37,0.62292,1,61,87,620.76,10.451
37.625,0.12292,1,60,91,631.24,2.0622
37.75,0.12292,1,59,94,633.34,2.0622
37.875,0.12292,1,58,96,635.44,2.0622
38,0.62292,1,55,94,637.53,10.451
38.625,0.12292,1,54,55,648.02,2.0622
38.75,0.12292,1,53,47,650.12,2.0622
38.875,0.12292,1,52,51,652.21,2.0622
39,0.33125,1,49,80,654.31,5.5575
39.333,0.10625,1,52,80,659.9,1.7826
39.442,0.22292,1,51,80,661.72,3.7399
39.667,0.33125,1,50,80,665.5,5.5575
40,0.99792,1,49,80,671.09,16.742
41,0.49792,1,51,80,687.87,8.3537
41.5,0.49792,1,50,80,696.25,8.3537
